sum_gamerounds,retention_1,retention_7,version
5,False,False,gate_40
16,False,False,gate_30
10,False,False,gate_40
4,False,False,gate_30
28,False,False,gate_40
46,True,False,gate_30
1,False,False,gate_40
4,False,False,gate_40
13,True,False,gate_40
9,False,False,gate_30
18,False,False,gate_30
15,False,False,gate_40
1,False,False,gate_40
3,False,False,gate_30
12,False,False,gate_30
8,False,False,gate_40
0,False,False,gate_40
18,True,False,gate_40
7,False,False,gate_30
52,False,True,gate_40
0,False,False,gate_30
136,True,False,gate_40
5,False,False,gate_30
474,True,True,gate_40
5,False,False,gate_40
26,True,False,gate_30
83,True,False,gate_40
1,False,False,gate_30
1,False,False,gate_40
121,False,False,gate_40
105,True,True,gate_40
2,False,False,gate_40
20,True,False,gate_30
46,False,False,gate_30
5,False,False,gate_30
80,True,True,gate_40
210,True,True,gate_40
16,True,False,gate_40
1906,True,True,gate_30
16,False,False,gate_30
0,False,False,gate_30
1,False,False,gate_30
35,True,True,gate_40
199,True,False,gate_40
6,False,False,gate_40
5,False,False,gate_30
3,False,False,gate_40
25,True,False,gate_30
118,True,True,gate_30
68,True,False,gate_40
105,True,False,gate_40
5,False,False,gate_30
38,True,False,gate_30
8,False,False,gate_40
7,False,False,gate_30
4,False,False,gate_30
6,False,False,gate_30
12,False,False,gate_40
103,True,False,gate_40
259,True,True,gate_30
5,False,False,gate_40
12,True,False,gate_40
6,True,False,gate_40
298,True,True,gate_30
3,False,False,gate_40
1,False,False,gate_40
15,False,False,gate_40
6,True,False,gate_30
10,False,False,gate_30
13,False,False,gate_40
12,True,False,gate_40
34,True,False,gate_40
3,False,False,gate_30
2,False,False,gate_40
7,False,False,gate_30
24,True,True,gate_30
7,False,False,gate_40
53,True,False,gate_30
38,False,True,gate_40
11,True,False,gate_30
98,True,False,gate_40
4,False,False,gate_40
5,False,False,gate_30
3,False,False,gate_40
50,False,False,gate_30
149,False,True,gate_30
20,True,False,gate_30
1,False,False,gate_30
30,True,False,gate_40
4,False,False,gate_40
53,True,False,gate_40
5,False,False,gate_40
113,True,False,gate_30
2,False,False,gate_40
2,False,False,gate_40
0,False,False,gate_30
25,True,False,gate_40
12,False,False,gate_30
59,False,False,gate_40
15,False,False,gate_30
106,True,True,gate_30
2,False,False,gate_40
7,False,False,gate_40
6,False,False,gate_40
59,True,False,gate_30
47,False,False,gate_30
1,False,False,gate_40
34,True,False,gate_30
4,False,False,gate_30
12,False,False,gate_30
15,True,False,gate_30
32,False,False,gate_40
0,False,False,gate_30
2,False,False,gate_30
34,True,False,gate_40
11,False,False,gate_30
16,False,False,gate_40
2,False,False,gate_40
128,True,True,gate_30
9,False,False,gate_40
0,False,False,gate_40
34,False,True,gate_30
7,False,False,gate_40
7,False,False,gate_40
215,True,True,gate_40
1,False,False,gate_30
0,False,False,gate_40
231,True,False,gate_40
5,False,False,gate_30
16,False,False,gate_40
34,False,False,gate_30
2,False,False,gate_40
34,True,False,gate_30
2,False,False,gate_30
12,False,False,gate_40
6,False,False,gate_40
41,True,False,gate_30
36,False,False,gate_40
13,False,False,gate_40
3,False,False,gate_30
36,True,True,gate_40
28,False,False,gate_40
11,True,False,gate_30
12,False,False,gate_40
7,False,False,gate_30
14,False,False,gate_40
3,True,False,gate_30
0,False,False,gate_40
5,False,False,gate_40
129,True,True,gate_40
95,False,True,gate_40
96,True,False,gate_40
160,True,False,gate_30
0,False,False,gate_30
17,False,False,gate_40
24,True,False,gate_40
11,True,False,gate_40
6,False,False,gate_40
26,False,False,gate_40
110,True,True,gate_40
61,True,True,gate_30
5,False,False,gate_30
15,False,False,gate_30
3,False,False,gate_40
12,False,False,gate_30
1,False,False,gate_40
65,True,False,gate_40
2,False,False,gate_40
18,False,False,gate_40
275,True,True,gate_40
19,False,True,gate_30
26,False,False,gate_30
46,False,False,gate_30
3,False,False,gate_40
40,True,False,gate_30
13,False,False,gate_40
8,False,False,gate_40
2,False,False,gate_40
3,False,False,gate_40
4,False,False,gate_40
37,True,False,gate_30
11,False,False,gate_40
22,True,False,gate_30
55,False,True,gate_40
20,True,False,gate_30
197,True,True,gate_30
44,False,False,gate_40
133,True,False,gate_30
0,False,False,gate_40
2,False,False,gate_40
21,False,False,gate_30
2,False,False,gate_30
5,False,False,gate_30
2,False,False,gate_40
14,False,False,gate_40
0,False,False,gate_30
44,False,True,gate_30
14,False,False,gate_30
76,True,False,gate_30
52,True,False,gate_30
88,True,True,gate_40
36,True,False,gate_30
66,True,False,gate_40
70,False,False,gate_40
2,False,False,gate_30
44,False,False,gate_40
98,True,False,gate_40
18,False,False,gate_30
9,False,False,gate_30
6,False,False,gate_40
3,True,False,gate_30
2,False,False,gate_40
54,False,False,gate_40
4,False,False,gate_40
13,False,True,gate_40
0,False,False,gate_30
8,False,False,gate_40
10,True,False,gate_30
18,False,False,gate_30
0,False,False,gate_40
33,False,False,gate_30
9,False,False,gate_40
6,False,True,gate_30
2,False,False,gate_30
79,True,True,gate_30
9,False,False,gate_40
1,False,False,gate_30
35,True,True,gate_40
4,False,False,gate_30
9,False,False,gate_30
43,True,False,gate_30
42,True,False,gate_30
6,True,True,gate_40
282,True,True,gate_30
11,False,False,gate_30
42,False,True,gate_40
16,False,False,gate_30
132,False,True,gate_40
49,True,True,gate_30
95,True,True,gate_30
3,False,False,gate_40
183,True,False,gate_30
24,False,False,gate_40
112,True,True,gate_40
70,True,True,gate_30
332,True,True,gate_30
100,True,True,gate_40
3,False,False,gate_30
798,True,True,gate_30
4,False,False,gate_40
0,False,False,gate_30
27,True,False,gate_30
41,True,False,gate_40
81,True,True,gate_30
49,True,False,gate_40
142,True,True,gate_30
31,False,False,gate_30
5,True,False,gate_30
35,False,False,gate_40
4,False,False,gate_40
3,False,False,gate_30
16,False,False,gate_30
12,False,False,gate_30
48,True,False,gate_40
8,True,False,gate_30
6,True,False,gate_40
13,False,False,gate_40
35,True,False,gate_40
4,False,False,gate_30
9,True,False,gate_40
7,True,False,gate_30
27,True,False,gate_40
83,True,False,gate_40
3,False,False,gate_40
3,False,False,gate_30
3,False,False,gate_40
143,False,True,gate_30
39,True,True,gate_40
114,True,True,gate_40
71,True,False,gate_30
13,False,False,gate_30
63,True,True,gate_40
75,True,False,gate_30
27,True,False,gate_30
15,False,False,gate_40
8,False,False,gate_30
17,True,False,gate_40
95,True,False,gate_30
6,False,False,gate_40
186,True,True,gate_30
50,True,False,gate_30
129,True,False,gate_30
1,False,False,gate_40
4,True,False,gate_40
30,False,False,gate_40
1,False,False,gate_30
3,False,False,gate_40
164,True,True,gate_30
1,True,False,gate_40
9,False,False,gate_40
6,False,False,gate_40
78,False,True,gate_40
249,True,True,gate_30
34,False,False,gate_40
29,True,False,gate_30
18,True,False,gate_40
4,False,False,gate_40
14,False,False,gate_30
2,False,False,gate_30
8,False,True,gate_30
47,True,False,gate_40
3,False,False,gate_40
345,True,False,gate_30
1,False,False,gate_40
50,True,True,gate_30
13,False,False,gate_30
57,True,False,gate_40
7,False,False,gate_30
13,True,False,gate_30
27,False,False,gate_30
59,True,False,gate_40
16,True,True,gate_40
51,False,False,gate_30
4,False,False,gate_30
7,False,False,gate_40
546,True,True,gate_30
45,False,False,gate_40
28,True,False,gate_30
82,False,True,gate_30
394,True,True,gate_30
5,False,False,gate_30
227,True,True,gate_40
258,False,True,gate_40
56,True,False,gate_30
0,False,False,gate_40
52,False,False,gate_40
8,False,False,gate_30
0,False,False,gate_30
5,False,False,gate_30
8,False,False,gate_40
1,False,False,gate_30
19,True,False,gate_30
11,False,False,gate_30
6,False,False,gate_40
375,True,True,gate_30
9,False,False,gate_30
4,False,False,gate_30
57,True,False,gate_40
2,False,False,gate_40
39,False,False,gate_30
8,False,False,gate_30
1,False,False,gate_30
7,False,False,gate_30
2,False,False,gate_40
51,True,False,gate_30
4,False,False,gate_40
0,False,False,gate_30
54,False,True,gate_30
10,False,False,gate_30
11,False,False,gate_40
3,False,False,gate_40
35,False,True,gate_30
39,False,False,gate_40
7,False,False,gate_30
19,True,False,gate_40
3,True,False,gate_40
7,False,False,gate_30
6,True,False,gate_40
109,True,False,gate_40
106,True,False,gate_40
0,False,False,gate_40
158,True,True,gate_40
60,True,False,gate_30
0,False,False,gate_40
13,True,False,gate_30
35,False,False,gate_30
7,False,False,gate_40
29,True,True,gate_30
0,False,False,gate_40
9,False,False,gate_30
519,True,True,gate_30
73,True,False,gate_30
2,False,False,gate_40
0,False,True,gate_30
5,False,False,gate_30
10,False,False,gate_30
10,False,False,gate_40
5,True,False,gate_30
52,True,False,gate_40
56,True,False,gate_40
42,True,True,gate_40
26,False,False,gate_30
19,False,False,gate_40
20,True,False,gate_30
34,False,False,gate_40
1,False,False,gate_40
7,True,False,gate_30
77,False,False,gate_40
9,False,False,gate_30
0,False,False,gate_40
41,True,False,gate_40
26,True,False,gate_30
553,True,True,gate_30
11,False,False,gate_40
260,True,True,gate_40
86,True,True,gate_30
47,False,True,gate_40
175,True,False,gate_30
28,True,False,gate_30
11,False,False,gate_30
25,False,False,gate_30
44,True,True,gate_40
81,True,True,gate_30
47,True,False,gate_40
37,True,False,gate_30
11,True,False,gate_30
3,False,False,gate_30
2,False,False,gate_30
26,True,False,gate_30
2,False,False,gate_40
0,False,False,gate_30
8,False,False,gate_30
11,True,False,gate_40
23,False,False,gate_30
3,True,False,gate_40
123,False,True,gate_30
2,False,False,gate_30
104,True,False,gate_40
28,True,False,gate_40
1,False,False,gate_40
21,True,False,gate_40
3,False,False,gate_40
281,True,True,gate_30
19,True,False,gate_40
20,False,False,gate_30
240,False,True,gate_30
2,False,False,gate_30
69,True,True,gate_40
33,False,False,gate_30
15,False,False,gate_30
14,True,False,gate_40
45,True,False,gate_30
17,False,False,gate_40
275,True,True,gate_40
11,True,False,gate_30
317,True,False,gate_30
2,False,False,gate_40
1,False,False,gate_40
90,True,False,gate_30
15,True,False,gate_30
90,True,False,gate_40
14,False,False,gate_40
6,False,False,gate_40
190,True,False,gate_30
11,True,False,gate_40
142,True,True,gate_30
8,False,False,gate_40
50,False,False,gate_30
3,False,False,gate_30
6,False,False,gate_40
192,False,True,gate_40
8,False,False,gate_30
0,False,False,gate_40
28,False,False,gate_30
343,False,True,gate_40
6,True,False,gate_30
10,False,True,gate_30
2,True,False,gate_30
3,False,False,gate_30
11,False,False,gate_40
191,True,True,gate_30
2,False,False,gate_30
3,False,False,gate_40
45,False,False,gate_30
8,True,True,gate_40
20,True,False,gate_40
16,False,False,gate_30
18,False,False,gate_30
52,False,False,gate_40
3,False,False,gate_30
1374,True,True,gate_30
2,False,False,gate_30
3,False,False,gate_40
4,False,False,gate_30
8,False,False,gate_30
19,False,False,gate_40
3,True,False,gate_30
4,False,False,gate_30
65,False,False,gate_40
1,False,False,gate_30
199,True,True,gate_30
24,True,False,gate_30
3,False,False,gate_40
74,True,False,gate_40
197,True,True,gate_30
40,False,False,gate_30
9,False,False,gate_40
29,False,False,gate_40
66,True,False,gate_40
48,True,False,gate_40
14,False,False,gate_40
15,False,False,gate_40
50,True,False,gate_30
2,False,False,gate_30
39,True,False,gate_40
16,False,False,gate_30
6,True,False,gate_30
124,False,True,gate_40
0,False,False,gate_40
4,False,False,gate_40
93,True,True,gate_30
41,True,False,gate_30
2,False,False,gate_30
16,True,False,gate_30
8,False,False,gate_30
4,False,False,gate_40
38,True,False,gate_30
91,True,True,gate_30
19,False,False,gate_30
344,True,True,gate_30
73,False,False,gate_40
11,False,False,gate_40
2,True,False,gate_30
51,True,False,gate_30
1,False,False,gate_30
33,True,True,gate_40
142,True,False,gate_40
44,True,False,gate_30
44,True,False,gate_40
222,True,True,gate_30
11,False,False,gate_30
14,False,False,gate_40
6,False,False,gate_40
12,True,False,gate_30
15,True,False,gate_40
200,True,True,gate_30
6,True,False,gate_40
35,False,False,gate_30
3,False,False,gate_30
5,False,True,gate_30
13,False,False,gate_30
17,True,False,gate_30
3,False,False,gate_30
43,True,False,gate_30
4,True,False,gate_40
2,False,False,gate_40
64,False,False,gate_40
399,False,True,gate_30
60,True,False,gate_30
216,True,False,gate_40
42,True,False,gate_40
18,True,False,gate_40
15,False,False,gate_40
1,False,False,gate_40
14,False,False,gate_30
129,False,True,gate_30
2,False,False,gate_40
2,False,False,gate_40
26,False,False,gate_30
12,True,False,gate_30
13,False,False,gate_40
17,True,False,gate_40
13,True,False,gate_40
7,False,False,gate_30
23,True,False,gate_30
33,False,False,gate_30
38,False,False,gate_30
36,True,True,gate_40
55,True,False,gate_40
159,True,True,gate_30
11,False,False,gate_30
4,False,False,gate_30
2,False,False,gate_30
69,True,True,gate_40
74,True,False,gate_30
4,False,False,gate_30
4,False,False,gate_30
113,True,False,gate_30
1,False,False,gate_30
5,False,False,gate_40
0,False,False,gate_40
36,True,False,gate_40
139,True,True,gate_40
79,True,False,gate_40
50,True,False,gate_30
11,False,False,gate_40
331,True,True,gate_30
12,False,False,gate_30
29,True,False,gate_40
26,False,False,gate_40
117,True,False,gate_40
7,True,False,gate_40
23,False,False,gate_40
26,False,False,gate_40
2,False,False,gate_40
40,True,False,gate_40
15,False,False,gate_30
32,True,False,gate_40
10,True,False,gate_40
432,True,True,gate_30
2,False,False,gate_40
8,True,False,gate_30
16,True,False,gate_40
148,True,True,gate_40
2,False,False,gate_30
2,False,False,gate_30
1,False,False,gate_40
4,False,False,gate_30
4,False,True,gate_30
149,True,True,gate_30
13,False,False,gate_30
5,False,False,gate_40
21,False,True,gate_30
80,False,True,gate_30
1,False,False,gate_40
0,False,False,gate_40
12,False,False,gate_30
1,False,False,gate_40
9,False,False,gate_30
15,False,False,gate_30
